Are you paying a Debt?,Employment Status,Are you a Student?,Do you Travel a Lot?,Have a Well Paid Job?,Duration to Accomplish Goals (years),Monthly Expenses,Debt Amount,Income per Month,Goal Type,Goal Amount,Current Savings,total_savings_required,monthly_savings_rate,income_expense_ratio,monthly_savings_required,monthly_savings_target,Goal Urgency
0,1,1,1,1,6,2238,0,5925,Big,8018,1396,6622,0.1182954907555817,0.3777215189873418,91.97222222222224,1103.6666666666667,1336.3333333333333
0,0,1,1,1,11,1245,0,1407,Big,6128,4286,1842,0.0907727294721053,0.8848614072494669,13.954545454545457,167.45454545454547,557.0909090909091
1,2,0,0,0,17,4926,8732,5233,Small,1226,745,481,0.0215656185767796,0.9413338429199312,2.357843137254902,28.294117647058822,72.11764705882354
0,1,1,1,0,13,4076,0,5059,Big,8087,3754,4333,0.030450633257605,0.8056928246689069,27.775641025641026,333.3076923076923,622.0769230769231
1,1,0,0,1,24,1694,1622,4851,Big,9395,8913,482,0.169045830202855,0.3492063492063492,1.6736111111111112,20.08333333333333,391.4583333333333
0,2,1,1,0,14,3236,0,3319,Big,6468,212,6256,0.0316949613510552,0.974992467610726,37.23809523809524,446.8571428571428,462.0
1,2,0,1,0,10,1225,45573,6630,Big,9552,5585,3967,0.4418159100374843,0.1847662141779789,33.05833333333333,396.7,955.2
0,2,0,1,1,15,1406,0,2904,Big,3479,2809,670,0.1469014121555859,0.484159779614325,3.7222222222222223,44.66666666666666,231.9333333333333
1,1,0,0,0,25,4384,3021,5311,Big,7021,6797,224,0.0276334564308167,0.82545659951045,0.7466666666666667,8.96,280.84
0,0,1,1,0,26,1211,0,1403,,9657,399,9258,0.095668592539759,0.8631503920171062,29.673076923076923,356.0769230769231,371.4230769230769
1,1,0,1,0,13,5968,23389,6548,Big,5640,3527,2113,0.0183844669335652,0.9114233353695784,13.544871794871796,162.53846153846155,433.84615384615387
0,1,1,1,1,29,4129,0,4178,Big,9708,2903,6805,0.0245063521485378,0.988271900430828,19.554597701149422,234.6551724137931,334.7586206896552
1,0,0,1,1,1,4376,14239,5010,Big,9990,5838,4152,0.0261627324044397,0.8734530938123752,346.0,4152.0,9990.0
0,0,1,0,0,13,3107,0,3824,Big,9917,907,9010,0.0396127850263672,0.8125,57.756410256410255,693.0769230769231,762.8461538461538
1,1,0,0,1,27,4755,10090,5523,Big,542,326,216,0.0244272175727359,0.8609451385116784,0.6666666666666666,8.0,20.07407407407408
0,0,0,0,0,5,3048,0,4531,Big,4064,1882,2182,0.0487712780981117,0.6726991834032222,36.36666666666667,436.4,812.8
1,2,1,0,1,14,1857,37403,5792,Big,7516,5338,2178,0.1679595667501534,0.3206146408839779,12.964285714285714,155.57142857142858,536.8571428571429
1,1,0,0,1,20,1102,18260,2923,,7693,3971,3722,0.2406942006119874,0.3770099213137188,15.508333333333333,186.1,384.65
1,1,1,0,1,14,4298,25285,6349,,7455,3637,3818,0.0343694438591997,0.6769570011025359,22.726190476190474,272.7142857142857,532.5
1,0,1,0,0,30,2695,45179,5467,,6576,4936,1640,0.0752716671084018,0.4929577464788732,4.555555555555555,54.66666666666666,219.2
1,2,0,1,1,2,1406,34688,5120,Big,9794,970,8824,0.2589997349299588,0.274609375,367.6666666666667,4412.0,4897.0
0,0,0,1,1,16,1620,0,6485,Big,7294,746,6548,0.2471040999847584,0.2498072474942174,34.104166666666664,409.25,455.875
1,1,1,1,1,30,1473,10578,1564,Big,145,3,142,0.072082734756276,0.9418158567774936,0.3944444444444444,4.733333333333333,4.833333333333333
1,0,1,1,1,11,5312,38175,6634,Big,5691,4983,708,0.0235103629880969,0.8007235453723244,5.363636363636363,64.36363636363636,517.3636363636364
0,1,1,1,0,29,2314,0,3667,Big,6154,1052,5102,0.0684832245047058,0.6310335424052359,14.660919540229886,175.93103448275863,212.20689655172413
0,0,0,1,1,9,3087,0,5339,Big,9607,5766,3841,0.0560256187871665,0.5781981644502716,35.56481481481482,426.77777777777777,1067.4444444444443
0,2,1,0,1,21,5828,0,6253,Big,3917,2084,1833,0.0184098115315785,0.9320326243403166,7.273809523809524,87.28571428571429,186.52380952380952
0,1,1,1,0,5,2434,0,4038,Big,6882,587,6295,0.0681593071044346,0.6027736503219415,104.91666666666669,1259.0,1376.4
0,2,1,1,1,14,1390,0,4762,Big,7455,282,7173,0.2464675741421251,0.2918941621167576,42.69642857142857,512.3571428571429,532.5
0,0,1,0,1,28,4514,0,5553,Big,7656,4199,3457,0.0272523880316031,0.8128939312083558,10.288690476190476,123.46428571428572,273.42857142857144
0,2,0,1,0,12,3732,0,6730,,5052,922,4130,0.0483205416725541,0.5545319465081724,28.68055555555556,344.1666666666667,421.0
1,1,1,1,1,24,2574,32945,5736,Small,9045,2904,6141,0.0865749117497369,0.448744769874477,21.322916666666668,255.875,376.875
1,1,1,1,1,5,4358,18684,5181,,8151,833,7318,0.0272796717635757,0.8411503570739239,121.96666666666668,1463.6,1630.2
0,0,0,0,0,15,1505,0,4351,Small,5595,1076,4519,0.1920950099888522,0.345897494828775,25.105555555555554,301.26666666666665,373.0
1,1,1,1,1,1,3546,36052,5505,Big,9281,8218,1063,0.0437804136688416,0.644141689373297,88.58333333333333,1063.0,9281.0
1,1,1,0,0,29,6237,43154,6784,Big,8293,7386,907,0.0174395129234528,0.9193691037735848,2.60632183908046,31.27586206896552,285.9655172413793
1,2,1,1,1,29,5042,37529,5870,Big,942,312,630,0.0230904511583067,0.8589437819420783,1.8103448275862069,21.724137931034484,32.48275862068966
0,2,0,0,1,25,1877,0,6311,Big,9419,4065,5354,0.1791305399262984,0.2974172080494375,17.846666666666668,214.16,376.76
0,1,1,1,1,9,3944,0,4731,Big,9333,2089,7244,0.030414391748166,0.8336503910378356,67.07407407407408,804.8888888888889,1037.0
0,0,1,0,1,29,1649,0,4486,Big,5964,251,5713,0.1649749319745028,0.3675880517164512,16.416666666666668,197.0,205.6551724137931
1,0,0,1,0,29,3095,49309,5800,Big,4956,4305,651,0.0605489598367266,0.5336206896551724,1.8706896551724137,22.448275862068964,170.89655172413794
0,0,0,0,1,23,1218,0,5727,Small,6576,5072,1504,0.386040266284873,0.2126767941330539,5.449275362318841,65.3913043478261,285.9130434782609
0,1,1,1,1,19,1489,0,2335,Small,537,205,332,0.1053167598881612,0.6376873661670236,1.456140350877193,17.473684210526315,28.26315789473684
